SpaceshipUpdate,CollisionUpdate,ParticlesUpdate,ProjectilesUpdate,BackgroundUpdate,SpaceshipDraw,ProjectilesDraw,BackgroundDraw,ParticlesDraw
1.72591e-005,2.46558e-006,4.43805e-005,4.1093e-007,3.12307e-005,0.000789397,4.1093e-007,0.000301212,8.21861e-006
1.72591e-005,2.05465e-006,4.39695e-005,8.21861e-007,3.04088e-005,0.00079063,4.1093e-007,0.000302034,8.62953e-006
1.68481e-005,2.05465e-006,4.27367e-005,8.21861e-007,2.99979e-005,0.000789397,4.1093e-007,0.000299157,8.21861e-006
1.56153e-005,2.46558e-006,4.35586e-005,8.21861e-007,3.04088e-005,0.000779946,4.1093e-007,0.00030491,7.80767e-006
1.80809e-005,2.05465e-006,4.43805e-005,8.21861e-007,3.04088e-005,0.000753646,4.1093e-007,0.000280665,7.39674e-006
1.767e-005,2.46558e-006,4.35586e-005,4.1093e-007,2.99979e-005,0.000788986,4.1093e-007,0.000302445,7.80767e-006
1.767e-005,2.46558e-006,4.60242e-005,4.1093e-007,2.99979e-005,0.000817751,4.1093e-007,0.000313951,8.21861e-006
1.72591e-005,2.46558e-006,4.56133e-005,8.21861e-007,2.87651e-005,0.00082597,4.1093e-007,0.000324224,8.21861e-006
1.60263e-005,2.87651e-006,4.23258e-005,4.1093e-007,2.71214e-005,0.000793095,4.1093e-007,0.000303267,8.62953e-006
3.69837e-005,2.46558e-006,3.45181e-005,4.1093e-007,2.87651e-005,0.000908567,4.1093e-007,0.000311485,9.4514e-006
1.23279e-005,2.05465e-006,3.41072e-005,4.1093e-007,2.9176e-005,0.000837065,4.1093e-007,0.000310663,9.86233e-006
1.31498e-005,2.46558e-006,3.45181e-005,8.21861e-007,2.83542e-005,0.000804601,8.21861e-007,0.000308198,9.4514e-006
1.27388e-005,2.46558e-006,4.35586e-005,4.1093e-007,3.12307e-005,0.000788575,4.1093e-007,0.000301212,7.80767e-006
1.39716e-005,2.46558e-006,3.98602e-005,1.23279e-006,2.9176e-005,0.000789397,4.1093e-007,0.000302856,9.04047e-006
1.35607e-005,2.46558e-006,3.94493e-005,8.21861e-007,2.9176e-005,0.000794328,4.1093e-007,0.000304088,7.80767e-006
1.72591e-005,2.46558e-006,4.64351e-005,8.21861e-007,2.87651e-005,0.000809533,4.1093e-007,0.000303267,9.04047e-006
1.64372e-005,2.46558e-006,4.47914e-005,4.1093e-007,3.24635e-005,0.000858844,0,0.000312307,9.04047e-006
1.52044e-005,2.05465e-006,4.23258e-005,8.21861e-007,2.83542e-005,0.000804191,0,0.000302034,8.21861e-006
